epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,2520.75,0.86858,0.93527,1.36136,0.52633,0.57871,0.54745,0.43981,1.32382,1.60595,1.73476,0.000206004,0.000206004,0.000206004
69,2557.09,0.85964,0.92772,1.35497,0.4696,0.58427,0.50695,0.41177,1.37754,1.83222,1.79602,0.000202586,0.000202586,0.000202586
70,2593.61,0.86863,0.9292,1.35936,0.52874,0.6056,0.58272,0.45488,1.29921,1.4657,1.69859,0.000199168,0.000199168,0.000199168
71,2630.04,0.85922,0.92936,1.35639,0.54764,0.61158,0.55177,0.43449,1.33782,1.6555,1.73534,0.00019575,0.00019575,0.00019575
72,2666.51,0.86908,0.92493,1.35793,0.54459,0.64123,0.57264,0.44802,1.2912,1.52723,1.69343,0.000192332,0.000192332,0.000192332
73,2702.91,0.85489,0.91362,1.34925,0.52255,0.64636,0.56172,0.44111,1.31792,1.58475,1.72192,0.000188914,0.000188914,0.000188914
74,2739.34,0.85532,0.90585,1.34606,0.66511,0.58256,0.5657,0.44946,1.30752,1.53644,1.72197,0.000185496,0.000185496,0.000185496
75,2775.78,0.85681,0.91512,1.34931,0.59337,0.60732,0.56927,0.45149,1.29086,1.47445,1.7023,0.000182079,0.000182079,0.000182079
76,2812.26,0.85292,0.90396,1.3451,0.52886,0.64426,0.55928,0.44321,1.32504,1.61168,1.74657,0.000178661,0.000178661,0.000178661
77,2848.79,0.85115,0.90669,1.34869,0.52854,0.57413,0.54357,0.43466,1.32226,1.58874,1.752,0.000175243,0.000175243,0.000175243
78,2885.38,0.85878,0.89769,1.34762,0.54535,0.58579,0.56454,0.44933,1.29852,1.50552,1.69993,0.000171825,0.000171825,0.000171825
79,2921.7,0.85036,0.90058,1.34331,0.50843,0.66522,0.56816,0.44576,1.33136,1.58039,1.73706,0.000168407,0.000168407,0.000168407
80,2958.13,0.84791,0.89453,1.34435,0.54808,0.64873,0.57226,0.44795,1.31018,1.5898,1.72357,0.000164989,0.000164989,0.000164989
81,2994.55,0.84127,0.8895,1.34167,0.54418,0.56997,0.55388,0.44389,1.31121,1.57461,1.7344,0.000161571,0.000161571,0.000161571
82,3031.03,0.85042,0.89527,1.34261,0.56406,0.56821,0.56589,0.45142,1.32811,1.55527,1.73667,0.000158154,0.000158154,0.000158154
83,3067.45,0.83765,0.88476,1.33228,0.5612,0.66677,0.55314,0.44072,1.32397,1.65906,1.7484,0.000154736,0.000154736,0.000154736
84,3103.94,0.84653,0.88104,1.33757,0.55936,0.58208,0.5722,0.45957,1.30112,1.55685,1.70873,0.000151318,0.000151318,0.000151318
85,3140.59,0.8385,0.87771,1.33275,0.54623,0.56934,0.55631,0.4467,1.33393,1.60695,1.75429,0.0001479,0.0001479,0.0001479
86,3177.55,0.83593,0.87234,1.33131,0.53562,0.58224,0.55156,0.44302,1.32152,1.61138,1.73376,0.000144482,0.000144482,0.000144482
87,3214.36,0.83768,0.86988,1.33153,0.52043,0.59022,0.55594,0.44508,1.31929,1.59596,1.74604,0.000141064,0.000141064,0.000141064
